taxon_input,accepted_name,aphia_id,rank,pocillopora_association,functional_role_str,max_length_final_mm,CommonLength,max_length_source,depth_min_final,depth_max_final,depth_source,trophic_level,trophic_se,Vulnerability,data_source,SpecCode,n_obis_records,n_sources
Actaeodes hirsutissimus,Actaeodes hirsutissimus,209051.0,species,unknown,unknown,,,other,,,none,,,,,,0,2
Alpheopsis aequalis,Alpheopsis aequalis,220235.0,species,facultative,commensal; bioeroder,,,other,,,none,,,,,,0,2
Alpheus clypeatus,Alpheus clypeatus,210529.0,species,facultative,commensal; bioeroder,,,other,,,none,,,,,,0,2
Alpheus collumianus,Alpheus collumianus,210504.0,species,facultative,commensal; bioeroder,,,other,,3.0,OBIS,,,,,,1,2
Alpheus diadema,Alpheus diadema,210518.0,species,facultative,commensal; bioeroder,,,other,3.0,5.0,OBIS,,,,,,1,2
Alpheus dolerus,Alpheus dolerus,514864.0,species,facultative,commensal; bioeroder,,,other,,,none,,,,,,0,2
Alpheus gracilipes,Alpheus gracilipes,210514.0,species,facultative,commensal; bioeroder,,,other,,2.0,OBIS,,,,,,1,2
Alpheus lottini,Alpheus lottini,210544.0,species,facultative,commensal; bioeroder,,,other,1.0,8.0,OBIS,,,,,,2,2
Alpheus obesomanus,Alpheus obesomanus,210535.0,species,facultative,commensal; bioeroder,,,other,,,none,,,,,,0,2
Alpheus pachychirus,Alpheus pachychirus,210547.0,species,facultative,commensal; bioeroder,,,other,0.3,24.0,OBIS,,,,,,2,2
Alpheus paracrinitus,Alpheus paracrinitus,210522.0,species,facultative,commensal; bioeroder,,,other,1.5,17.0,OBIS,,,,,,4,2
Alpheus parvirostris,Alpheus parvirostris,210506.0,species,facultative,commensal; bioeroder,,,other,,,none,,,,,,0,2
Alpheus roseodigitalis,Alpheus roseodigitalis,514959.0,species,facultative,commensal; bioeroder,,,other,0.0,0.0,OBIS,,,,,,1,2
Alpheus sizou,Alpheus sizou,514966.0,species,facultative,commensal; bioeroder,,,other,,,none,,,,,,0,2
Alpheus staphylinus,Alpheus staphylinus,514973.0,species,facultative,commensal; bioeroder,,,other,0.0,3.0,OBIS,,,,,,1,2
Alpheus strenuus,Alpheus strenuus,210517.0,species,facultative,commensal; bioeroder,,,other,0.5,24.3,OBIS,,,,,,2,2
Amphipholis squamata,Amphipholis squamata,125064.0,species,unknown,unknown,200.0,,WoRMS,0.0,378.0,OBIS,,,,,,9,2
Anarithma metula,Anarithma metula,594417.0,species,unknown,unknown,,,other,62.0,111.0,OBIS,,,,,,4,2
Antennatus tuberosus,Antennatus tuberosus,217855.0,species,unknown,unknown,90.0,,FishBase/SeaLifeBase,0.0,27.72,OBIS,,,10.0,FishBase,11150.0,3,2
Apataxia cerithiiformis,Apataxia cerithiiformis,871015.0,species,unknown,unknown,,,other,,,none,,,,,,0,2
Arete indicus,Arete indicus,221011.0,species,facultative,commensal; bioeroder,,,other,,,none,,,,,,0,2
Astralium confragosum,Astralium confragosum,581743.0,species,unknown,unknown,,,other,,,none,,,,,,0,2
Athanas areteformis,Athanas areteformis,210463.0,species,facultative,commensal; bioeroder,,,other,2.0,,OBIS,,,,,,1,2
Athanas djiboutensis,Athanas djiboutensis,210466.0,species,facultative,commensal; bioeroder,,,other,0.0,0.0,OBIS,,,,,,2,2
Athanas marshallensis,Athanas marshallensis,210468.0,species,facultative,commensal; bioeroder,,,other,0.0,18.0,OBIS,,,,,,5,2
Bittium glareosum,Bittium glareosum,207905.0,species,unknown,unknown,,,other,,,none,,,,,,0,2
Bittium impendens,Bittium impendens,473076.0,species,unknown,unknown,,,other,,,none,,,,,,0,2
Breviturma dentata,Breviturma dentata,1214745.0,species,unknown,unknown,,,other,0.0,15.0,OBIS,,,,,,9,2
Breviturma pica,Breviturma pica,1306674.0,species,unknown,unknown,,,other,2.0,14.0,OBIS,,,,,,9,2
Bulla orientalis,Bulla orientalis,510402.0,species,unknown,unknown,,,other,1.5,1.5,OBIS,,,,,,1,2
Caducifer decapitatus,Caducifer decapitatus,490878.0,species,unknown,unknown,,,other,22.0,46.0,OBIS,,,,,,3,2
Calcinus gouti,Calcinus gouti,367437.0,species,unknown,unknown,,,other,,,none,,,,,,0,2
Calcinus guamensis,Calcinus guamensis,367438.0,species,unknown,unknown,,,other,15.0,15.0,OBIS,,,,,,2,2
Calcinus laevimanus,Calcinus laevimanus,208669.0,species,unknown,unknown,,,other,,,none,,,,,,0,2
Calcinus latens,Calcinus latens,208677.0,species,unknown,unknown,,,other,,,none,,,,,,0,2
Calcinus morgani,Calcinus morgani,367449.0,species,unknown,unknown,,,other,2.0,13.0,OBIS,,,,,,3,2
Calcinus nitidus,Calcinus nitidus,208675.0,species,unknown,unknown,,,other,0.0,10.0,OBIS,,,,,,2,2
Calcinus seurati,Calcinus seurati,208674.0,species,unknown,unknown,,,other,0.0,16.0,OBIS,,,,,,2,2
Caracanthus maculatus,Caracanthus maculatus,220364.0,species,facultative,predator,50.0,,FishBase/SeaLifeBase,0.0,20.7,OBIS,,,10.0,FishBase,7873.0,6,2
Carpilius convexus,Carpilius convexus,209150.0,species,unknown,unknown,150.0,,WoRMS,0.0,6.3,OBIS,,,,,,1,2
Cerithium nesioticum,Cerithium nesioticum,139061.0,species,unknown,unknown,,,other,0.0,1.0,OBIS,,,,,,1,2
Cerithium punctatum,Cerithium punctatum,216677.0,species,unknown,unknown,,,other,,,none,,,,,,0,2
Cerithium zebrum,Cerithium zebrum,216673.0,species,unknown,unknown,,,other,,,none,,,,,,0,2
Chlorocurtis jactans,Chlorocurtis jactans,515421.0,species,facultative,unknown,,,other,21.0,,OBIS,,,,,,1,2
Chlorodiella barbata,Chlorodiella barbata,209139.0,species,facultative,unknown,,,other,0.5,1.0,OBIS,,,,,,2,2
Chlorodiella cytherea,Chlorodiella cytherea,209138.0,species,facultative,unknown,,,other,,,none,,,,,,0,2
Chlorodiella laevissima,Chlorodiella laevissima,209137.0,species,facultative,unknown,,,other,,,none,,,,,,0,2
Chromodoris aspersa,Chromodoris aspersa,558319.0,species,unknown,unknown,,,other,0.0,15.0,OBIS,,,,,,7,2
Chrysiptera brownriggii,Chrysiptera brownriggii,276827.0,species,unknown,unknown,80.0,,FishBase/SeaLifeBase,0.0,7.4,OBIS,,,10.0,FishBase,5697.0,7,2
Ciliopagurus strigatus,Ciliopagurus strigatus,246257.0,species,unknown,unknown,,,other,2.0,30.0,OBIS,,,,,,3,2
Conus lividus,Conus lividus,215541.0,species,unknown,unknown,60.0,,WoRMS,0.0,32.0,OBIS,,,,,,2,2
Coralliogalathea humilis,Coralliogalathea humilis,392201.0,species,facultative,corallivore; commensal,,,other,,,none,,,,,,0,2
Crepidula fornicata,Crepidula fornicata,138963.0,species,unknown,unknown,500.0,,WoRMS,0.0,20.0,OBIS,,,,,,6,2
Cyclodius nitidus,Cyclodius nitidus,444088.0,species,unknown,unknown,,,other,,,none,,,,,,0,2
Cymo quadrilobatus,Cymo quadrilobatus,208972.0,species,obligate,unknown,,,other,,,none,,,,,,0,2
Daira perlata,Daira perlata,107426.0,species,unknown,unknown,,,other,0.5,0.5,OBIS,,,,,,1,2
Dascyllus flavicaudus,Dascyllus flavicaudus,278450.0,species,unknown,unknown,120.0,,FishBase/SeaLifeBase,3.0,15.0,OBIS,,,10.0,FishBase,11972.0,10,2
Dendrodoris nigra,Dendrodoris nigra,139519.0,species,unknown,unknown,,,other,0.0,4.0,OBIS,,,,,,2,2
Diala albugo,Diala albugo,547187.0,species,unknown,unknown,,,other,,,none,,,,,,0,2
Domecia glabra,Domecia glabra,209147.0,species,obligate,unknown,,,other,1.0,5.0,OBIS,,,,,,1,2
Domecia hispida,Domecia hispida,209146.0,species,obligate,unknown,,,other,2.0,8.0,OBIS,,,,,,1,2
Enchelyurus ater,Enchelyurus ater,276882.0,species,unknown,unknown,55.0,,FishBase/SeaLifeBase,0.0,6.1,OBIS,,,10.0,FishBase,13753.0,1,2
Epigrapsus politus,Epigrapsus politus,,species,unknown,unknown,,,other,,,none,,,,,,0,1
Euplica varians,Euplica varians,511782.0,species,unknown,unknown,,,other,1.0,1.0,OBIS,,,,,,1,2
Galathea mauritiana,Galathea mauritiana,210093.0,species,facultative,commensal; filter_feeder,,,other,11.0,11.0,OBIS,,,,,,1,2
Galathea pilosa,Galathea pilosa,392250.0,species,facultative,commensal; filter_feeder,,,other,,,none,,,,,,0,2
Galathea spinosorostris,Galathea spinosorostris,392258.0,species,facultative,commensal; filter_feeder,,,other,0.0,10.0,OBIS,,,,,,1,2
Galeropsis monodonta,Galeropsis monodonta,724109.0,species,unknown,unknown,,,other,1.0,19.0,OBIS,,,,,,6,2
Garthiella aberrans,Garthiella aberrans,444091.0,species,unknown,unknown,,,other,,,none,,,,,,0,2
Gobiodon unicolor,Gobiodon unicolor,276935.0,species,obligate,commensal; mucus_feeder,27.99999952316284,,FishBase/SeaLifeBase,4.0,4.5,OBIS,,,10.0,FishBase,59869.0,1,2
Goniosupradens obtusifrons,Goniosupradens obtusifrons,1358824.0,species,unknown,unknown,,,other,,,none,,,,,,0,2
Gonodactylellus espinosus,Gonodactylellus espinosus,408908.0,species,unknown,unknown,,,other,0.0,12.2,OBIS,,,,,,5,2
Hargeria rapax,Hargeria rapax,247538.0,species,unknown,unknown,,,other,0.4,4.0,OBIS,,,,,,9,2
Harpiliopsis beaupresii,Harpiliopsis beaupresii,220132.0,species,facultative,commensal,,,other,,,none,,,,,,0,2
Harpiliopsis depressa,Harpiliopsis depressa,220131.0,species,facultative,commensal,,,other,1.0,21.0,OBIS,,,,,,4,2
Harpiliopsis spinigera,Harpiliopsis spinigera,220130.0,species,facultative,commensal,,,other,2.0,12.0,OBIS,,,,,,4,2
Hemilienardia malleti,Hemilienardia malleti,217103.0,species,unknown,unknown,,,other,,,none,,,,,,0,2
Imbricariopsis punctata,Imbricariopsis punctata,1061679.0,species,unknown,unknown,,,other,1.0,2.0,OBIS,,,,,,1,2
Jacforus cavatus,Jacforus cavatus,444268.0,species,unknown,unknown,,,other,,,none,,,,,,0,2
